infinitivo,ending,pensyl,prepensyl,pospensyl,stem,person,number,tense,mood,class_pensyl,class_suff,irregular,conjugacion
agregar,ar,gre,g,re,g,1,0,2,0,0,ué,1,agregué
agregar,ar,gre,g,re,g,1,0,0,1,0,ue,1,agregue
agregar,ar,gre,g,re,g,2,0,0,1,0,ues,1,agregues
agregar,ar,gre,g,re,g,3,0,0,1,0,ue,1,agregue
agregar,ar,gre,g,re,g,1,1,0,1,0,uemos,1,agreguemos
agregar,ar,gre,g,re,g,2,1,0,1,0,uéis,1,agreguéis
agregar,ar,gre,g,re,g,3,1,0,1,0,uen,1,agreguen
agregar,ar,gre,g,re,g,3,0,0,2,0,ue,1,agregue
agregar,ar,gre,g,re,g,1,1,0,2,0,uemos,1,agreguemos
agregar,ar,gre,g,re,g,3,1,0,2,0,uen,1,agreguen
estar,ar,es,NULL,es,t,1,0,0,0,0,oy,1,estoy
estar,ar,es,NULL,es,t,2,0,0,0,0,ás,1,estás
estar,ar,es,NULL,es,t,3,0,0,0,0,á,1,está
estar,ar,es,NULL,es,t,3,1,0,0,0,án,1,están
estar,ar,es,NULL,es,t,1,0,2,0,0,uve,1,estuve
estar,ar,es,NULL,es,t,2,0,2,0,0,uviste,1,estuviste
estar,ar,es,NULL,es,t,3,0,2,0,0,uvo,1,estuvo
estar,ar,es,NULL,es,t,1,1,2,0,0,uvimos,1,estuvimos
estar,ar,es,NULL,es,t,2,1,2,0,0,uvisteis,1,estuvisteis
estar,ar,es,NULL,es,t,3,1,2,0,0,uvieron,1,estuvieron
estar,ar,es,NULL,es,t,1,0,0,1,0,é,1,esté
estar,ar,es,NULL,es,t,2,0,0,1,0,és,1,estés
estar,ar,es,NULL,es,t,3,0,0,1,0,é,1,esté
estar,ar,es,NULL,es,t,3,1,0,1,0,én,1,estén
estar,ar,es,NULL,es,t,1,0,1,1,0,uviera,1,estuviera
estar,ar,es,NULL,es,t,2,0,1,1,0,uvieras,1,estuvieras
estar,ar,es,NULL,es,t,3,0,1,1,0,uviera,1,estuviera
estar,ar,es,NULL,es,t,1,1,1,1,0,uviéramos,1,estuviéramos
estar,ar,es,NULL,es,t,2,1,1,1,0,uvierais,1,estuvierais
estar,ar,es,NULL,es,t,3,1,1,1,0,uvieran,1,estuvieran
estar,ar,es,NULL,es,t,1,0,3,1,0,uviere,1,estuviere
estar,ar,es,NULL,es,t,2,0,3,1,0,uvieres,1,estuvieres
estar,ar,es,NULL,es,t,3,0,3,1,0,uviere,1,estuviere
estar,ar,es,NULL,es,t,1,1,3,1,0,uviéremos,1,estuviéremos
estar,ar,es,NULL,es,t,2,1,3,1,0,uviereis,1,estuviereis
estar,ar,es,NULL,es,t,3,1,3,1,0,uvieren,1,estuvieren
estar,ar,es,NULL,es,t,2,0,0,2,0,á,1,está
estar,ar,es,NULL,es,t,3,0,0,2,0,é,1,esté
estar,ar,es,NULL,es,t,3,1,0,2,0,én,1,estén
entretener,er,te,NULL,te,n,1,0,0,0,ten,go,1,entretengo
entretener,er,te,NULL,te,n,2,0,0,0,tie,es,1,entretienes
entretener,er,te,NULL,te,n,3,0,0,0,tie,e,1,entretiene
entretener,er,te,NULL,te,n,3,1,0,0,tie,en,1,entretienen
entretener,er,te,NULL,te,n,1,0,2,0,tu,ve,1,entretuve
entretener,er,te,NULL,te,n,2,0,2,0,tu,viste,1,entretuviste
entretener,er,te,NULL,te,n,3,0,2,0,tu,vo,1,entretuvo
entretener,er,te,NULL,te,n,1,1,2,0,tu,vimos,1,entretuvimos
entretener,er,te,NULL,te,n,2,1,2,0,tu,visteis,1,entretuvisteis
entretener,er,te,NULL,te,n,3,1,2,0,tu,vieron,1,entretuvieron
entretener,er,te,NULL,te,n,1,0,3,0,ten,dré,1,entretendré
entretener,er,te,NULL,te,n,2,0,3,0,ten,drás,1,entretendrás
entretener,er,te,NULL,te,n,3,0,3,0,ten,drá,1,entretendrá
entretener,er,te,NULL,te,n,1,1,3,0,ten,dremos,1,entretendremos
entretener,er,te,NULL,te,n,2,1,3,0,ten,dréis,1,entretendréis
entretener,er,te,NULL,te,n,3,1,3,0,ten,drán,1,entretendrán
entretener,er,te,NULL,te,n,1,0,4,0,ten,dría,1,entretendría
entretener,er,te,NULL,te,n,2,0,4,0,ten,drías,1,entretendrías
entretener,er,te,NULL,te,n,3,0,4,0,ten,dría,1,entretendría
entretener,er,te,NULL,te,n,1,1,4,0,ten,dríamos,1,entretendríamos
entretener,er,te,NULL,te,n,2,1,4,0,ten,dríais,1,entretendríais
entretener,er,te,NULL,te,n,3,1,4,0,ten,drían,1,entretendrían
entretener,er,te,NULL,te,n,1,0,0,1,ten,ga,1,entretenga
entretener,er,te,NULL,te,n,2,0,0,1,ten,gas,1,entretengas
entretener,er,te,NULL,te,n,3,0,0,1,ten,ga,1,entretenga
entretener,er,te,NULL,te,n,1,1,0,1,ten,gamos,1,entretengamos
