infinitivo,ending,pensyl,prepensyl,pospensyl,stem,null,null,tense,mood,class_pensyl,class_suff,1,1,conjugacion
agregar,ar,gre,g,re,g,null,null,0,0,0,o,0,1,agrego
agregar,ar,gre,g,re,g,null,null,0,0,0,as,0,1,agregas
agregar,ar,gre,g,re,g,null,null,0,0,0,a,0,1,agrega
agregar,ar,gre,g,re,g,null,null,0,0,0,amos,1,1,agregamos
agregar,ar,gre,g,re,g,null,null,0,0,0,áis,0,1,agregáis
agregar,ar,gre,g,re,g,null,null,0,0,0,an,0,1,agregan
agregar,ar,gre,g,re,g,null,null,1,0,0,aba,1,1,agregaba
agregar,ar,gre,g,re,g,null,null,1,0,0,abas,1,1,agregabas
agregar,ar,gre,g,re,g,null,null,1,0,0,aba,1,1,agregaba
agregar,ar,gre,g,re,g,null,null,1,0,0,ábamos,1,1,agregábamos
agregar,ar,gre,g,re,g,null,null,1,0,0,abais,1,1,agregabais
agregar,ar,gre,g,re,g,null,null,1,0,0,aban,1,1,agregaban
agregar,ar,gre,g,re,g,null,null,2,0,0,ué,0,1,agregué
agregar,ar,gre,g,re,g,null,null,2,0,0,aste,1,1,agregaste
agregar,ar,gre,g,re,g,null,null,2,0,0,ó,0,1,agregó
agregar,ar,gre,g,re,g,null,null,2,0,0,amos,1,1,agregamos
agregar,ar,gre,g,re,g,null,null,2,0,0,asteis,1,1,agregasteis
agregar,ar,gre,g,re,g,null,null,2,0,0,aron,1,1,agregaron
agregar,ar,gre,g,re,g,null,null,3,0,0,aré,1,1,agregaré
agregar,ar,gre,g,re,g,null,null,3,0,0,arás,1,1,agregarás
agregar,ar,gre,g,re,g,null,null,3,0,0,ará,1,1,agregará
agregar,ar,gre,g,re,g,null,null,3,0,0,aremos,1,1,agregaremos
agregar,ar,gre,g,re,g,null,null,3,0,0,aréis,1,1,agregaréis
agregar,ar,gre,g,re,g,null,null,3,0,0,arán,1,1,agregarán
agregar,ar,gre,g,re,g,null,null,4,0,0,aría,1,1,agregaría
agregar,ar,gre,g,re,g,null,null,4,0,0,arías,1,1,agregarías
agregar,ar,gre,g,re,g,null,null,4,0,0,aría,1,1,agregaría
agregar,ar,gre,g,re,g,null,null,4,0,0,aríamos,1,1,agregaríamos
agregar,ar,gre,g,re,g,null,null,4,0,0,aríais,1,1,agregaríais
agregar,ar,gre,g,re,g,null,null,4,0,0,arían,1,1,agregarían
agregar,ar,gre,g,re,g,null,null,0,1,0,ue,0,1,agregue
agregar,ar,gre,g,re,g,null,null,0,1,0,ues,0,1,agregues
agregar,ar,gre,g,re,g,null,null,0,1,0,ue,0,1,agregue
agregar,ar,gre,g,re,g,null,null,0,1,0,uemos,1,1,agreguemos
agregar,ar,gre,g,re,g,null,null,0,1,0,uéis,0,1,agreguéis
agregar,ar,gre,g,re,g,null,null,0,1,0,uen,0,1,agreguen
agregar,ar,gre,g,re,g,null,null,1,1,0,ara,1,1,agregara
agregar,ar,gre,g,re,g,null,null,1,1,0,aras,1,1,agregaras
agregar,ar,gre,g,re,g,null,null,1,1,0,ara,1,1,agregara
agregar,ar,gre,g,re,g,null,null,1,1,0,áramos,1,1,agregáramos
agregar,ar,gre,g,re,g,null,null,1,1,0,arais,1,1,agregarais
agregar,ar,gre,g,re,g,null,null,1,1,0,aran,1,1,agregaran
agregar,ar,gre,g,re,g,null,null,3,1,0,are,1,1,agregare
agregar,ar,gre,g,re,g,null,null,3,1,0,ares,1,1,agregares
agregar,ar,gre,g,re,g,null,null,3,1,0,are,1,1,agregare
agregar,ar,gre,g,re,g,null,null,3,1,0,áremos,1,1,agregáremos
agregar,ar,gre,g,re,g,null,null,3,1,0,areis,1,1,agregareis
agregar,ar,gre,g,re,g,null,null,3,1,0,aren,1,1,agregaren
agregar,ar,gre,g,re,g,null,null,0,2,-,?,0,null,-
agregar,ar,gre,g,re,g,null,null,0,2,0,a,0,1,agrega
agregar,ar,gre,g,re,g,null,null,0,2,0,ue,0,1,agregue
agregar,ar,gre,g,re,g,null,null,0,2,0,uemos,1,1,agreguemos
agregar,ar,gre,g,re,g,null,null,0,2,0,ad,0,1,agregad
agregar,ar,gre,g,re,g,null,null,0,2,0,uen,0,1,agreguen
admirar,ar,mi,NULL,mi,r,null,null,0,0,0,o,0,1,admiro
admirar,ar,mi,NULL,mi,r,null,null,0,0,0,as,0,1,admiras
admirar,ar,mi,NULL,mi,r,null,null,0,0,0,a,0,1,admira
admirar,ar,mi,NULL,mi,r,null,null,0,0,0,amos,1,1,admiramos
admirar,ar,mi,NULL,mi,r,null,null,0,0,0,áis,0,1,admiráis
admirar,ar,mi,NULL,mi,r,null,null,0,0,0,an,0,1,admiran
admirar,ar,mi,NULL,mi,r,null,null,1,0,0,aba,1,1,admiraba
admirar,ar,mi,NULL,mi,r,null,null,1,0,0,abas,1,1,admirabas
admirar,ar,mi,NULL,mi,r,null,null,1,0,0,aba,1,1,admiraba
admirar,ar,mi,NULL,mi,r,null,null,1,0,0,ábamos,1,1,admirábamos
admirar,ar,mi,NULL,mi,r,null,null,1,0,0,abais,1,1,admirabais
admirar,ar,mi,NULL,mi,r,null,null,1,0,0,aban,1,1,admiraban
admirar,ar,mi,NULL,mi,r,null,null,2,0,0,é,0,1,admiré
admirar,ar,mi,NULL,mi,r,null,null,2,0,0,aste,1,1,admiraste
admirar,ar,mi,NULL,mi,r,null,null,2,0,0,ó,0,1,admiró
admirar,ar,mi,NULL,mi,r,null,null,2,0,0,amos,1,1,admiramos
admirar,ar,mi,NULL,mi,r,null,null,2,0,0,asteis,1,1,admirasteis
admirar,ar,mi,NULL,mi,r,null,null,2,0,0,aron,1,1,admiraron
admirar,ar,mi,NULL,mi,r,null,null,3,0,0,aré,1,1,admiraré
admirar,ar,mi,NULL,mi,r,null,null,3,0,0,arás,1,1,admirarás
admirar,ar,mi,NULL,mi,r,null,null,3,0,0,ará,1,1,admirará
admirar,ar,mi,NULL,mi,r,null,null,3,0,0,aremos,1,1,admiraremos
admirar,ar,mi,NULL,mi,r,null,null,3,0,0,aréis,1,1,admiraréis
admirar,ar,mi,NULL,mi,r,null,null,3,0,0,arán,1,1,admirarán
admirar,ar,mi,NULL,mi,r,null,null,4,0,0,aría,1,1,admiraría
admirar,ar,mi,NULL,mi,r,null,null,4,0,0,arías,1,1,admirarías
admirar,ar,mi,NULL,mi,r,null,null,4,0,0,aría,1,1,admiraría
admirar,ar,mi,NULL,mi,r,null,null,4,0,0,aríamos,1,1,admiraríamos
admirar,ar,mi,NULL,mi,r,null,null,4,0,0,aríais,1,1,admiraríais
admirar,ar,mi,NULL,mi,r,null,null,4,0,0,arían,1,1,admirarían
admirar,ar,mi,NULL,mi,r,null,null,0,1,0,e,0,1,admire
admirar,ar,mi,NULL,mi,r,null,null,0,1,0,es,0,1,admires
admirar,ar,mi,NULL,mi,r,null,null,0,1,0,e,0,1,admire
admirar,ar,mi,NULL,mi,r,null,null,0,1,0,emos,1,1,admiremos
admirar,ar,mi,NULL,mi,r,null,null,0,1,0,éis,0,1,admiréis
admirar,ar,mi,NULL,mi,r,null,null,0,1,0,en,0,1,admiren
admirar,ar,mi,NULL,mi,r,null,null,1,1,0,ara,1,1,admirara
admirar,ar,mi,NULL,mi,r,null,null,1,1,0,aras,1,1,admiraras
admirar,ar,mi,NULL,mi,r,null,null,1,1,0,ara,1,1,admirara
admirar,ar,mi,NULL,mi,r,null,null,1,1,0,áramos,1,1,admiráramos
admirar,ar,mi,NULL,mi,r,null,null,1,1,0,arais,1,1,admirarais
admirar,ar,mi,NULL,mi,r,null,null,1,1,0,aran,1,1,admiraran
admirar,ar,mi,NULL,mi,r,null,null,3,1,0,are,1,1,admirare
admirar,ar,mi,NULL,mi,r,null,null,3,1,0,ares,1,1,admirares
admirar,ar,mi,NULL,mi,r,null,null,3,1,0,are,1,1,admirare
admirar,ar,mi,NULL,mi,r,null,null,3,1,0,áremos,1,1,admiráremos
admirar,ar,mi,NULL,mi,r,null,null,3,1,0,areis,1,1,admirareis
admirar,ar,mi,NULL,mi,r,null,null,3,1,0,aren,1,1,admiraren
admirar,ar,mi,NULL,mi,r,null,null,0,2,-,?,0,null,-
admirar,ar,mi,NULL,mi,r,null,null,0,2,0,a,0,1,admira
admirar,ar,mi,NULL,mi,r,null,null,0,2,0,e,0,1,admire
admirar,ar,mi,NULL,mi,r,null,null,0,2,0,emos,1,1,admiremos
admirar,ar,mi,NULL,mi,r,null,null,0,2,0,ad,0,1,admirad
admirar,ar,mi,NULL,mi,r,null,null,0,2,0,en,0,1,admiren
admitir,ir,mi,NULL,mi,t,null,null,0,0,0,o,0,1,admito
admitir,ir,mi,NULL,mi,t,null,null,0,0,0,es,0,1,admites
admitir,ir,mi,NULL,mi,t,null,null,0,0,0,e,0,1,admite
admitir,ir,mi,NULL,mi,t,null,null,0,0,0,imos,1,1,admitimos
admitir,ir,mi,NULL,mi,t,null,null,0,0,0,ís,0,1,admitís
admitir,ir,mi,NULL,mi,t,null,null,0,0,0,en,0,1,admiten
admitir,ir,mi,NULL,mi,t,null,null,1,0,0,ía,1,1,admitía
admitir,ir,mi,NULL,mi,t,null,null,1,0,0,ías,1,1,admitías
admitir,ir,mi,NULL,mi,t,null,null,1,0,0,ía,1,1,admitía
admitir,ir,mi,NULL,mi,t,null,null,1,0,0,íamos,1,1,admitíamos
admitir,ir,mi,NULL,mi,t,null,null,1,0,0,íais,1,1,admitíais
admitir,ir,mi,NULL,mi,t,null,null,1,0,0,ían,1,1,admitían
admitir,ir,mi,NULL,mi,t,null,null,2,0,0,í,0,1,admití
admitir,ir,mi,NULL,mi,t,null,null,2,0,0,iste,1,1,admitiste
admitir,ir,mi,NULL,mi,t,null,null,2,0,0,ió,0,1,admitió
admitir,ir,mi,NULL,mi,t,null,null,2,0,0,imos,1,1,admitimos
admitir,ir,mi,NULL,mi,t,null,null,2,0,0,isteis,1,1,admitisteis
admitir,ir,mi,NULL,mi,t,null,null,2,0,0,ieron,1,1,admitieron
admitir,ir,mi,NULL,mi,t,null,null,3,0,0,iré,1,1,admitiré
admitir,ir,mi,NULL,mi,t,null,null,3,0,0,irás,1,1,admitirás
admitir,ir,mi,NULL,mi,t,null,null,3,0,0,irá,1,1,admitirá
admitir,ir,mi,NULL,mi,t,null,null,3,0,0,iremos,1,1,admitiremos
admitir,ir,mi,NULL,mi,t,null,null,3,0,0,iréis,1,1,admitiréis
admitir,ir,mi,NULL,mi,t,null,null,3,0,0,irán,1,1,admitirán
admitir,ir,mi,NULL,mi,t,null,null,4,0,0,iría,1,1,admitiría
admitir,ir,mi,NULL,mi,t,null,null,4,0,0,irías,1,1,admitirías
admitir,ir,mi,NULL,mi,t,null,null,4,0,0,iría,1,1,admitiría
admitir,ir,mi,NULL,mi,t,null,null,4,0,0,iríamos,1,1,admitiríamos
admitir,ir,mi,NULL,mi,t,null,null,4,0,0,iríais,1,1,admitiríais
admitir,ir,mi,NULL,mi,t,null,null,4,0,0,irían,1,1,admitirían
admitir,ir,mi,NULL,mi,t,null,null,0,1,0,a,0,1,admita
admitir,ir,mi,NULL,mi,t,null,null,0,1,0,as,0,1,admitas
admitir,ir,mi,NULL,mi,t,null,null,0,1,0,a,0,1,admita
admitir,ir,mi,NULL,mi,t,null,null,0,1,0,amos,1,1,admitamos
admitir,ir,mi,NULL,mi,t,null,null,0,1,0,áis,0,1,admitáis
admitir,ir,mi,NULL,mi,t,null,null,0,1,0,an,0,1,admitan
admitir,ir,mi,NULL,mi,t,null,null,1,1,0,iera,1,1,admitiera
admitir,ir,mi,NULL,mi,t,null,null,1,1,0,ieras,1,1,admitieras
admitir,ir,mi,NULL,mi,t,null,null,1,1,0,iera,1,1,admitiera
admitir,ir,mi,NULL,mi,t,null,null,1,1,0,iéramos,1,1,admitiéramos
admitir,ir,mi,NULL,mi,t,null,null,1,1,0,ierais,1,1,admitierais
admitir,ir,mi,NULL,mi,t,null,null,1,1,0,ieran,1,1,admitieran
admitir,ir,mi,NULL,mi,t,null,null,3,1,0,iere,1,1,admitiere
admitir,ir,mi,NULL,mi,t,null,null,3,1,0,ieres,1,1,admitieres
admitir,ir,mi,NULL,mi,t,null,null,3,1,0,iere,1,1,admitiere
admitir,ir,mi,NULL,mi,t,null,null,3,1,0,iéremos,1,1,admitiéremos
admitir,ir,mi,NULL,mi,t,null,null,3,1,0,iereis,1,1,admitiereis
admitir,ir,mi,NULL,mi,t,null,null,3,1,0,ieren,1,1,admitieren
admitir,ir,mi,NULL,mi,t,null,null,0,2,-,?,0,null,-
admitir,ir,mi,NULL,mi,t,null,null,0,2,0,e,0,1,admite
admitir,ir,mi,NULL,mi,t,null,null,0,2,0,a,0,1,admita
admitir,ir,mi,NULL,mi,t,null,null,0,2,0,amos,1,1,admitamos
admitir,ir,mi,NULL,mi,t,null,null,0,2,0,id,0,1,admitid
admitir,ir,mi,NULL,mi,t,null,null,0,2,0,an,0,1,admitan
aconsejar,ar,se,NULL,se,j,null,null,0,0,0,o,0,1,aconsejo
aconsejar,ar,se,NULL,se,j,null,null,0,0,0,as,0,1,aconsejas
aconsejar,ar,se,NULL,se,j,null,null,0,0,0,a,0,1,aconseja
aconsejar,ar,se,NULL,se,j,null,null,0,0,0,amos,1,1,aconsejamos
aconsejar,ar,se,NULL,se,j,null,null,0,0,0,áis,0,1,aconsejáis
aconsejar,ar,se,NULL,se,j,null,null,0,0,0,an,0,1,aconsejan
